"EL GATO","ARCADE","V"
"MONTY MOLE","ARCADE","V"
"OROMANIA","ARCADE","V"
"TIME-BOMB","ARCADE","V"
"MOON ALERT","ARCADE","V"
"DEFENDER","ARCADE","V"
"NODES OF YESOD","VIDEOAVENTURA","V"
"STARION","ARCADE","V-23"
"JET SET WILLY II","ARCADE","V"
"ROLAND'S RAT RACE","ARCADE","W"
"SENSO 1","ARCADE","W"
"GAMMA","ARCADE","W"
"KUNG-FU","ARCADE","W"
"Q-ERT","ARCADE","W"
"HOROSCOPO","UTILIDAD","W"
"RB2","ARCADE","W"
"TIRO A TIRO","ARCADE","W"
"LA MANZANA DE NEWTON","ARCADE","W"
"TOPO","ARCADE","W"
"QUAZATRON","ARCADE","W"
"FRANKESTEIN","ARCADE","W"
"ROCKY","ARCADE","W"
"STARQUAKE","VIDEOAVENTURA","X"
"MOVIE","CONVERSACIONAL","X"
"ASTERIX Y EL CALDERO MAGICO","ARCADE","X-28"
"PYRACURSE","VIDEOAVENTURA","X"
"EQUINOX","VIDEOAVENTURA","X"
"XENO","ARCADE","Y"
"URIDIUM","ARCADE","X"
"A.C.E.","ARCADE","X"
"ROLLER COASTER","ARCADE","X"
"THE GREAT ESCAPE","VIDEOAVENTURA","X"
"MONTY ON THE RUN","ARCADE","X"
"SPINDIZZY","VIDEOAVENTURA","Y"
"LODE RUNNER","ARCADE","Y"
"PAPERBOY","ARCADE","Y"
"COBRA","ARCADE","Y"
"GALIVAN","ARCADE","Y"
"BREAK THRU","ARCADE","Y"
"I OF THE MASK","ARCADE","Y"
"KONG","ARCADE","Y"
"BORZAK","ARCADE","Z"
"COSMIC KANGA","ARCADE","Z"
"SWEEVO'S WORLD","VIDEOAVENTURA","Z"
"THAT'S THE SPIRIT","VIDEOAVENTURA","Z-24"
"THE TRANSFORMERS","ARCADE","Z"
"FINDERS KEEPERS","VIDEOAVENTURA","Z"
"ELITE","ARCADE","Z-20"
"JUGGERNAUT","SIMULADOR","D"
"STAINLESS STEEL","ARCADE","D"
"TWISTER","ARCADE","D"
"1942","ARCADE","D"
"HARDBALL","S. DEPORTIVO","D"
"BOUNDER","ARCADE","D"
"STREET HAWK","ARCADE","D"
"THANATOS","ARCADE","D"
"TOP GUN","ARCADE","D"
"SURVIVAL","JUEGO DE MESA","D"
"MAKE A CHIP","UTILIDAD","D"
"MELBOURNE DRAW II","UTILIDAD","D"
"THE GOONIES","ARCADE","D"
"XARQ","ARCADE","Z"
"MIAMI VICE","ARCADE","Z"
"BEAR BOWER","ARCADE","Z"
"FIRELORD","VIDEOAVENTURA","Z"
"TRIVIAL PURSUIT","JUEGO DE MESA","1"
"STRIKE FORCE COBRA","ARCADE","1"
"NOMINA","UTILIDAD","0"
"BANCOS","UTILIDAD","0"
"MAPA 48K","UTILIDAD","0"
"STOCK","UTILIDAD","0"
"THE TRAP DOOR","ARCADE","0"
"TT RACER","SIMULADOR","0"
"NIGHTMARE RALLY","ARCADE","0"
"FUTURE KNIGHT","ARCADE","0"
"KNIGHT RIDER","ARCADE","0"
"IT'S A KNOCKOUT","ARCADE","0"
"SHAOLIN'S ROAD","ARCADE","0"
"YIE AR KUNG-FU II","ARCADE","0"
"SPACE HARRIER","ARCADE","0"
"CONTABLE","UTILIDAD","0"
"GAUNTLET","ARCADE","2"
"LAS TRES LUCES DE GLAURUNG","VIDEOAVENTURA","2"
"TERRA CRESTA","ARCADE","2"
"JAIL BREAK","ARCADE","2"
"ARKANOID","ARCADE","2-20"
"LOGO","UTILIDAD","2"
"FORTH","UTILIDAD","Y"
"PAGEMAKER","UTILIDAD","Y"
"THE ARTIST II","UTILIDAD","2"
"COPION","UTILIDAD","B"
"TC7","UTILIDAD","B"
"LEGEND OF THE AMAZON WOMEN","ARCADE","0-33"
"STOP THE ITA EXPRESS","ARCADE","T"
"ARMY MOVES","ARCADE","5"
"DEEP STRIKE","ARCADE","1"
"BC'S QUEST FOR TIRES","ARCADE","1"
"HERBERT'S DUMMY RUN","VIDEOAVENTURA","1"
"ENDURO RACER","ARCADE","3"
"THE EIDOLON","ARCADE","4"
"EXPRESS RAIDER","ARCADE","4"
"SCALEXTRICK","ARCADE","1"
"XEVIOUS","ARCADE","1"
"REVOLUTION","ARCADE","1"
