"MONOPOLY","JUEGO DE MESA","22"
"MONTY IS INOCENT","ARCADE","F"
"MONTY MOLE","ARCADE","V"
"MONTY ON THE RUN","ARCADE","30"
"MONTY ON THE RUN","ARCADE","X"
"MOON ALERT","ARCADE","V"
"MOON CRESTA","ARCADE","C"
"MOONLIGHT MADNESS","VIDEOAVENTURA","27"
"MORSE","UTILIDAD","C"
"MOTOS","ARCADE","23"
"MOVIE","CONVERSACIONAL","X"
"MR. WEEMS AND THE SHE-VAMPIRES","ARCADE","29"
"MS. PAC-MAN","ARCADE","7"
"MUGSY","CONVERSACIONAL","A"
"MUGSY'S REVENGE","CONVERSACIONAL","26"
"MUS","JUEGO DE MESA","22"
"MUTANTS","ARCADE","15"
"N.O.M.A.D.","ARCADE","P-24"
"NAPOLEON AT WAR","ESTRATEGIA","30"
"NEMESIS THE WARLOCK","ARCADE","9"
"NEMESIS","ARCADE","3"
"NEXOR","VIDEOAVENTURA","28"
"NICK FALDO PLAYS THE OPEN","S. DEPORTIVO","8"
"NIGHTFLITE II","SIMULADOR","14"
"NIGHTFLITE","ARCADE","J"
"NIGHTMARE RALLY","ARCADE","0"
"NIGHTSHADE","VIDEOAVENTURA","N"
"NODES OF YESOD","VIDEOAVENTURA","V"
"NOMINA","UTILIDAD","0"
"NONAMED","ARCADE","4"
"NOSFERATU","VIDEOAVENTURA","19"
"OLE TORO","ARCADE","M-22"
"OLIMPICON","ARCADE","B"
"OLLI & LISSA","ARCADE","28"
"OMETRON","ARCADE","29"
"ONE MAN AND HIS DROID","ARCADE","12"
"ONE ON ONE","ARCADE","K"
"ONMICOPY 2","UTILIDAD","7"
"OPERACIONES ESPECIALES","ESTRATEGIA","33"
"ORBITER","ARCADE","C"
"ORBIX - THE TERRORBALL","ARCADE","21"
"OROMANIA","ARCADE","V"
"PAGEMAKER","UTILIDAD","Y"
"PAINTBOX","UTILIDAD","A"
"PAINTER","ARCADE","I"
"PANAMA JOE","ARCADE","T"
"PAPERBOY","ARCADE","Y"
"PARABOLA","VIDEOAVENTURA","13"
"PEDRO","ARCADE","U"
"PENETRATOR","ARCADE","F"
"PENN-X","ARCADE","U"
"PENTAGRAM","VIDEOAVENTURA","R"
"PESADILLAS","ARCADE","V"
"PHANTOMAS II","VIDEOAVENTURA","U"
"PHANTOMAS","VIDEOAVENTURA","S"
"PHEENIX","ARCADE","X"
"PIMBALL WIZARD","ARCADE","C"
"PING-PONG","S. DEPORTIVO","Q-24"
"PISTA","ARCADE","U"
"PLANCHA","ARCADE","U"
"PLANET OF DEATH","CONVERSACIONAL","F"
"PLANETOIDS","ARCADE","A"
"PNEUMATIC HAMMERS","ARCADE","23"
"POLE POSITION","ARCADE","L"
"POOL","S. DEPORTIVO","L"
"POPEYE","ARCADE","L-25"
"PROFANATION","VIDEOAVENTURA","K"
"PROHIBITION","ARCADE","16"
"PSI 5 TRADING COMPANY","ESTRATEGIA","12"
"PSI-CHESS","JUEGO DE MESA","29"
"PSST","ARCADE","J"
"PSYTRON","ARCADE","A"
"PUB GAMES","ARCADE","22"
"PUD PUD","ARCADE","25"
"PULSATOR","ARCADE","21"
"PYJAMARAMA","VIDEOAVENTURA","M"
"PYRACURSE","VIDEOAVENTURA","X"
"Q-ERT","ARCADE","W"
"QUARTET","ARCADE","16"
"QUAZATRON","ARCADE","W"
"RAID OVER MOSCOW","ARCADE","I"
"RAMBO","ARCADE","M-29"
"RAMON RODRIGUEZ","ARCADE","5"
"RANARAMA","ARCADE","9"
"RASPUTIN","ARCADE","22"
"RB2","ARCADE","W"
"REBEL PLANET","CONVERSACIONAL","27"
"RED ARROWS","SIMULADOR","14"
"RED COATS","ESTRATEGIA","27"
"RED SCORPION","ARCADE","15"
"REGATA","SIMULADOR","25"
"RESCUE ON FRACTALUS","ARCADE","14"
"REVERSI","JUEGO DE MESA","A"
"REVOLUTION","ARCADE","1"
"RIDDLER'S DEN","VIDEOAVENTURA","T"
"RIVER RAID","ARCADE","H"
"ROAD RACE","ARCADE","13"
"ROAD RUNNER","ARCADE","16"
"ROBIN OF THE WOOD","VIDEOAVENTURA","R"
"ROBOT MESSIAH","VIDEOAVENTURA","7"
"ROCK'N WRESTLE","ARCADE","R"
"ROCKS","ARCADE","I"
"ROCKY HORROR SHOW","ARCADE","P"
"ROCKY","ARCADE","W"
"ROCMAN","VIDEOAVENTURA","30"
"ROGUE TROOPER","ARCADE","18"
"ROLAND'S RAT RACE","ARCADE","W"
"ROLLER COASTER","ARCADE","X"
"ROOM 10","ARCADE","20"
"RUPERT AND THE ICE CASTLE","ARCADE","24"
"SABOTEUR II","VIDEOAVENTURA","2"
"SABOTEUR","VIDEOAVENTURA","O"
"SABREWULF","VIDEOAVENTURA","J"
"SAFARI","JUEGO DE MESA","29"
"SAI COMBAT","ARCADE","P"
"SAILING","SIMULADOR","12"
"SAIMAZOON","VIDEOAVENTURA","G"
"SAMANTHA FOX STRIP POKER","JUEGO DE MESA","R"
"SAMURAI TRILOGY","SIMULADOR","28"
"SAMURAI","ESTRATEGIA","11"
"SCALEXTRICK","ARCADE","1"
"SCEPTRE OF BAGDAD","VIDEOAVENTURA","33"
"SCOOBY DOO","ARCADE","13"
"SCRABBLE","JUEGO DE MESA","J"
"SCUBA DIVE","ARCADE","E"
"SENSO 1","ARCADE","W"
"SGRIZAM","ARCADE","O-29"
"SHADOW SKIMMER","ARCADE","2"
"SHADOWFIRE","VIDEOAVENTURA","H"
"SHAOLIN'S ROAD","ARCADE","0"
"SHOCKWAY RIDER","ARCADE","18"
"SHORT CIRCUIT","ARCADE","4"
"SHOW JUMPING","ARCADE","29"
"SIDEWIZE","ARCADE","22"
"SIEGE","ARCADE","12"
"SIGMA 7","ARCADE","3"
"SILENT SERVICE","SIMULADOR","14"
"SIR FRED","VIDEOAVENTURA","Q-U"
"SKATE BOARD","ARCADE","V"
"SKOOL DAZE","ARCADE","H-W"
"SKY FOX","ARCADE","Q"
"SKY RUNNER","ARCADE","9"
"SLAP FIGHT","ARCADE","14"
"SMUGGLER'S CAVE","CONVERSACIONAL","33"
"SNAKE PIT","ARCADE","I"
"SNOOKER","S. DEPORTIVO","N"
"SNOWMAN","ARCADE","T"
"SOFT & CUDDLY","ARCADE","33"
"SOLITARIO","JUEGO DE MESA","J"
"SOLOMON'S KEY","ARCADE","23"
"SORCERY","ARCADE","L"
"SOS","VIDEOAVENTURA","20"
"SOUTHERN BELLE","SIMULADOR","L-31"
"SPACE HARRIER","ARCADE","0"
"SPACE INTRUDERS","ARCADE","J"
"SPACE RAIDERS","ARCADE","A"
"SPACE SHUTTLE","SIMULADOR","B"
"SPAWN OF EVIL","ARCADE","J"
"SPEAKEASY","UTILIDAD","13"
"SPECIAL DELIVERY","ARCADE","17"
"SPECTROIDS","ARCADE","U"
"SPECTRUM CHESS","JUEGO DE MESA","J"
"SPEED DUEL","ARCADE","6"
"SPEED KING II","ARCADE","18"
"SPELLBOUND","ARCADE","6"
"SPIKY HAROLD","VIDEOAVENTURA","25"
"SPINDIZZY","VIDEOAVENTURA","Y"
"SPIRITS","VIDEOAVENTURA","7"
"SPITFIRE 40","SIMULADOR","O"
"SPORT HERO","ARCADE","I"
"SPY HUNTER","ARCADE","I-30"
"SPY VS SPY II","VIDEOAVENTURA","33"
"SPY VS SPY","ARCADE","25"
"SQUASH","S. DEPORTIVO","R-31"
"STAGECOACH","ARCADE","20"
"STAINLESS STEEL","ARCADE","D"
"STAR FIREBIRDS","ARCADE","31"
"STAR GLIDER","ARCADE","11"
"STAR RAIDERS II","ARCADE","10"
"STAR TREK","SIMULADOR","C"
"STARBIKE","ARCADE","7"
"STARFOX","ARCADE","17"
"STARION","ARCADE","V-23"
"STARQUAKE","VIDEOAVENTURA","X"
"STARSTRIKE II","ARCADE","S"
"STATION ZEBRA","ARCADE","B"
"STOCK MARKET","ESTRATEGIA","4"
"STOCK","UTILIDAD","0"
"STONKERS","ESTRATEGIA","33"
"STOP THE ITA EXPRESS","ARCADE","T"
"STORM FIGHTERS","ARCADE","N"
"STORM","ARCADE","16"
"STORMBRINGER","VIDEOAVENTURA","15"
"STREET HAWK","ARCADE","D"
"STREET HAWK","ARCADE","U"
"STRIKE FORCE COBRA","ARCADE","1"
"STRIKE FORCE HARRIER","ARCADE","29"
"STRIKE","ARCADE","8"
"STRIP POKER","JUEGO DE MESA","H"
"STRIP POKER","JUEGO DE MESA","T"
"STRONG MAN","ARCADE","P"
"SUPER 48","UTILIDAD","22"
"SUPER ROBIN HOOD","ARCADE","32"
"SUPERBOWL","S. DEPORTIVO","18"
"SUPERCHESS","JUEGO DE MESA","C"
"SUPERCOMECOCOS","ARCADE","X"
"SUPERCYCLE","ARCADE","19"
"SUPERMAN","ARCADE","S"
"SUPERSOCCER","ARCADE","7"
"SUPERSPRINT","ARCADE","32"
"SUPERSTAR CHALLENGE","ARCADE","24"
"SURVIVAL","JUEGO DE MESA","D"
"SURVIVOR","ARCADE","12"
"SWEEVO'S WORLD","VIDEOAVENTURA","Z"
"TABLA PERIODICA","UTILIDAD","J"
"TAJ-MAHAL","ARCADE","T"
"TALES OF ARABIAN NIGHTS","ARCADE","6"
"TANK TRAX","ARCADE","C"
"TANTALUS","ARCADE","21"
"TAPPER","ARCADE","H-23"
"TARZAN","VIDEOAVENTURA","13"
"TASWORD TWO","UTILIDAD","P"
"TAU CETI","ARCADE","5"
"TC7","UTILIDAD","B"
"TEMPEST","ARCADE","15"
"TENNIS","ARCADE","S"
"TERMINUS","ARCADE","20"
"TERRA COGNITA","ARCADE","18"
"TERRA CRESTA","ARCADE","2"
"TERROR DAKTIL 4D","ARCADE","G"
"TERROR OF THE DEEP","SIMULADOR","21"
"THANATOS","ARCADE","D"
"THAT'S THE SPIRIT","VIDEOAVENTURA","Z-24"
"THE ARTIST II","UTILIDAD","2"
"THE ARTIST","UTILIDAD","24"
